Comp,Crit_Think,Oral_Comm,Math,Arts,Hum,Arts_Hum,Soc_Behav1,Soc_Behav2,Soc_Behav3,Phys_Sci,Bio_Sci,Sci_Labs
,,,,,HIST 235,ENGL 228,PSYC 271,PSYC 271,PSYC 271,,,
,,,,,HIST 241,ENGL 230A,SOC 101,SOC 101,SOC 101,,,
,,,,,HIST 242,ENGL 230B,SOC 110,SOC 110,SOC 110,,,
,,,,,HIST 245,ENGL 231,SOC 120,SOC 120,SOC 120,,,
,,,,,HIST 246,ENGL 232,SOC 201,SOC 201,SOC 201,,,
,,,,,HIST 250,ENGL 233,SOC 202 ,SOC 202 ,SOC 202 ,,,
,,,,,HIST 255,ENGL 234,SOC 205,SOC 205,SOC 205,,,
,,,,,HIST 260,ENGL 235,SOC 210,SOC 210,SOC 210,,,
,,,,,HIST 265,ENGL 236,SOC 215,SOC 215,SOC 215,,,
,,,,,HIST 275,ENGL 237,SOC 250,SOC 250,SOC 250,,,
,,,,,HUM 100,ENGL 238,WGS 101,WGS 101,WGS 101,,,
,,,,,HUM 108 ,ENGL 239,WGS 105,WGS 105,WGS 105,,,
,,,,,HUM 109 ,ENGL 245,WGS 107 ,WGS 107 ,WGS 107 ,,,
,,,,,HUM 125 ,ENGL 246A,WGS 108 ,WGS 108 ,WGS 108 ,,,
,,,,,JAPN 102,ENGL 248A,WGS 115 ,WGS 115 ,WGS 115 ,,,
,,,,,PHIL 100,ENGL 248B,WGS 140,WGS 140,WGS 140,,,
,,,,,PHIL 102,ENGL 249,WGS 202 ,WGS 202 ,WGS 202 ,,,
,,,,,PHIL 104,FREN 201,WGS 204 ,WGS 204 ,WGS 204 ,,,
,,,,,PHIL 105,FREN 202,WGS 205 ,WGS 205 ,WGS 205 ,,,
,,,,,PHIL 107,FREN 281,WGS 206 ,WGS 206 ,WGS 206 ,,,
,,,,,PHIL 108,FREN 282,WGS 209,WGS 209,WGS 209,,,
,,,,,PHIL 109 ,FREN 283,WGS 250,WGS 250,WGS 250,,,
,,,,,PHIL 130,FREN 285 ,,,,,,
,,,,,PHIL 140,GERM 102,,,,,,
,,,,,PHIL 200,GERM 201,,,,,,
,,,,,PHIL 201,GERM 202,,,,,,
,,,,,PHIL 203,HIST 101,,,,,,
,,,,,PHIL 204,HIST 102,,,,,,
,,,,,PHIL 205,HIST 103,,,,,,
,,,,,PHIL 206,HIST 110,,,,,,
,,,,,PHOT 150,HIST 120,,,,,,
,,,,,POL 240,HIST 210,,,,,,
,,,,,SPAN 102,HIST 230,,,,,,
,,,,,SPAN 112,HIST 235,,,,,,
,,,,,SPAN 201,HIST 241,,,,,,
,,,,,SPAN 202,HIST 242,,,,,,
,,,,,SPAN 205,HIST 245,,,,,,
,,,,,SPAN 210,HIST 246,,,,,,
,,,,,SPAN 245,HIST 250,,,,,,
,,,,,SPAN 260,HIST 255,,,,,,
,,,,,SPAN 285 ,HIST 260,,,,,,
,,,,,WGS 102,HIST 265,,,,,,
,,,,,WGS 109 ,HIST 275,,,,,,
,,,,,WGS 207 ,HUM 100,,,,,,
,,,,,WGS 209,HUM 108 ,,,,,,
,,,,,WGS 250,HUM 109 ,,,,,,
,,,,,,HUM 125 ,,,,,,
,,,,,,JAPN 102,,,,,,
,,,,,,PHIL 100,,,,,,
,,,,,,PHIL 102,,,,,,
,,,,,,PHIL 104,,,,,,
,,,,,,PHIL 105,,,,,,
,,,,,,PHIL 107,,,,,,
,,,,,,PHIL 108,,,,,,
,,,,,,PHIL 109 ,,,,,,
,,,,,,PHIL 130,,,,,,
,,,,,,PHIL 140,,,,,,
,,,,,,PHIL 200,,,,,,
,,,,,,PHIL 201,,,,,,
,,,,,,PHIL 203,,,,,,
,,,,,,PHIL 204,,,,,,
,,,,,,PHIL 205,,,,,,
,,,,,,PHIL 206,,,,,,
,,,,,,PHOT 150,,,,,,
,,,,,,POL 240,,,,,,
,,,,,,SPAN 102,,,,,,
,,,,,,SPAN 112,,,,,,
,,,,,,SPAN 201,,,,,,
,,,,,,SPAN 202,,,,,,
,,,,,,SPAN 205,,,,,,
,,,,,,SPAN 210,,,,,,
,,,,,,SPAN 245,,,,,,
,,,,,,SPAN 260,,,,,,
,,,,,,SPAN 285 ,,,,,,
,,,,,,WGS 102,,,,,,
,,,,,,WGS 109 ,,,,,,
,,,,,,WGS 207 ,,,,,,
,,,,,,WGS 209,,,,,,
,,,,,,WGS 250,,,,,,
